Date,M&M_close,M& M_vol,M& M_returns,Maruti_close,Maruti_vol,Maruti_returns,TATA_close,TATA_vol,TATA_returns
1/14/2020,562.5,2793249,-7.549988,7386.799805,548522,-34.09961,195.850006,29867542,0.399994
1/15/2020,569.75,2564513,-7.25,7482.950195,692726,-96.15039,200.350006,38485962,-4.5
1/16/2020,567.450012,2243200,2.299988,7462.649902,640207,20.300293,197.550003,28118140,2.800003
1/17/2020,569.299988,2646260,-1.849976,7520.149902,750738,-57.5,197.300003,18204088,0.25
1/20/2020,567.200012,1847978,2.099976,7449.600098,407828,70.549804,195,28976013,2.300003
1/21/2020,552.799988,3101684,14.400024,7302.649902,442561,146.950196,191.399994,20859400,3.600006
1/22/2020,553.599976,1862669,-0.799988,7135.600098,1048435,167.049804,185.600006,32952072,5.799988
1/23/2020,566.5,2113303,-12.900024,7147.100098,589326,-11.5,188.399994,33032086,-2.799988
1/24/2020,567.75,2284717,-1.25,7128.450195,645723,18.649903,186.5,21791825,1.899994
1/27/2020,578.299988,3654906,-10.549988,7148.799805,573149,-20.34961,182.199997,30132428,4.300003
1/28/2020,572.5,3689004,5.799988,6997.049805,1614448,151.75,176.100006,38283588,6.099991
1/29/2020,577.75,1934080,-5.25,7010.299805,1001252,-13.25,188.050003,61585660,-11.949997
1/30/2020,567.849976,2901951,9.900024,7020.450195,579174,-10.15039,186.199997,70900581,1.850006
1/31/2020,567.150024,2352196,0.699952,6913.5,868935,106.950195,176.600006,75621897,9.599991
2/3/2020,558.700012,3818209,8.450012,7011.299805,1010531,-97.799805,163.850006,66616190,12.75
2/4/2020,576.900024,2793702,-18.200012,7199.600098,973311,-188.300293,165.699997,49034642,-1.849991
2/5/2020,584.349976,3320830,-7.449952,7040.899902,718489,158.700196,183.75,92982265,-18.050003
2/6/2020,580.150024,2207104,4.199952,7021.600098,875714,19.299804,178.850006,61821140,4.899994
2/7/2020,569.099976,4083215,11.050048,6971.75,645814,49.850098,173.600006,45195760,5.25
2/10/2020,528.400024,9648880,40.699952,6892.899902,593773,78.850098,168.899994,33279372,4.700012
2/11/2020,524.049988,5404802,4.350036,7033.75,743160,-140.850098,169.75,42868276,-0.850006
2/12/2020,531,3426829,-6.950012,7043.299805,599364,-9.549805,170.949997,34621395,-1.199997
2/13/2020,533.599976,3392352,-2.599976,7005.049805,723169,38.25,169.5,25049848,1.449997
2/14/2020,523,3507540,10.599976,6913.799805,614859,91.25,169.100006,56676430,0.399994
2/17/2020,522.75,2652464,0.25,6906.75,463548,7.049805,169.100006,32893274,0
